filename,label,source,modality,sound_id
LS/M_PR_LUA.wav,Pathology,LS,LS,M_PR_LUA
HS/M_S3_LUSB.wav,Pathology,HS,HS,M_S3_LUSB
HS/F_S3_A.wav,Pathology,HS,HS,F_S3_A
LS/M_R_LMA.wav,Pathology,LS,LS,M_R_LMA
MIX/L0028.wav,Pathology,MIX,LS,L0028
MIX/H0110.wav,Pathology,MIX,HS,H0110
LS/F_PR_LMA.wav,Pathology,LS,LS,F_PR_LMA
HS/F_LDM_LUSB.wav,Pathology,HS,HS,F_LDM_LUSB
MIX/H0041.wav,Pathology,MIX,HS,H0041
MIX/L0114.wav,Pathology,MIX,LS,L0114
MIX/H0114.wav,Pathology,MIX,HS,H0114
MIX/L0078.wav,Normal,MIX,LS,L0078
MIX/H0037.wav,Pathology,MIX,HS,H0037
MIX/L0019.wav,Pathology,MIX,LS,L0019
HS/F_N_A.wav,Normal,HS,HS,F_N_A
HS/M_S3_LLSB.wav,Pathology,HS,HS,M_S3_LLSB
MIX/H0008.wav,Pathology,MIX,HS,H0008
MIX/L0069.wav,Pathology,MIX,LS,L0069
MIX/L0135.wav,Normal,MIX,LS,L0135
MIX/L0138.wav,Normal,MIX,LS,L0138
MIX/H0006.wav,Pathology,MIX,HS,H0006
MIX/L0141.wav,Pathology,MIX,LS,L0141
HS/F_N_LUSB.wav,Normal,HS,HS,F_N_LUSB
HS/F_ESM_LUSB.wav,Pathology,HS,HS,F_ESM_LUSB
LS/M_G_LMA.wav,Pathology,LS,LS,M_G_LMA
MIX/H0120.wav,Pathology,MIX,HS,H0120
MIX/L0096.wav,Pathology,MIX,LS,L0096
LS/M_G_LUA.wav,Pathology,LS,LS,M_G_LUA
MIX/L0070.wav,Normal,MIX,LS,L0070
MIX/L0127.wav,Pathology,MIX,LS,L0127
MIX/L0060.wav,Pathology,MIX,LS,L0060
LS/F_R_LMA.wav,Pathology,LS,LS,F_R_LMA
MIX/L0063.wav,Pathology,MIX,LS,L0063
MIX/H0070.wav,Pathology,MIX,HS,H0070
MIX/L0020.wav,Normal,MIX,LS,L0020
MIX/H0107.wav,Normal,MIX,HS,H0107
MIX/H0042.wav,Pathology,MIX,HS,H0042
MIX/L0131.wav,Pathology,MIX,LS,L0131
MIX/L0132.wav,Pathology,MIX,LS,L0132
MIX/H0075.wav,Pathology,MIX,HS,H0075
MIX/H0055.wav,Pathology,MIX,HS,H0055
LS/F_G_RLA.wav,Pathology,LS,LS,F_G_RLA
MIX/L0001.wav,Pathology,MIX,LS,L0001
MIX/H0003.wav,Pathology,MIX,HS,H0003
HS/F_LSM_A.wav,Pathology,HS,HS,F_LSM_A
LS/F_R_RLA.wav,Pathology,LS,LS,F_R_RLA
MIX/H0030.wav,Pathology,MIX,HS,H0030
HS/M_MSM_A.wav,Pathology,HS,HS,M_MSM_A
HS/M_MSM_RC.wav,Pathology,HS,HS,M_MSM_RC
MIX/L0094.wav,Pathology,MIX,LS,L0094
MIX/L0123.wav,Pathology,MIX,LS,L0123
MIX/L0120.wav,Pathology,MIX,LS,L0120
MIX/H0144.wav,Pathology,MIX,HS,H0144
MIX/H0039.wav,Normal,MIX,HS,H0039
MIX/H0093.wav,Pathology,MIX,HS,H0093
MIX/H0139.wav,Pathology,MIX,HS,H0139
MIX/L0095.wav,Normal,MIX,LS,L0095
LS/M_C_LUA.wav,Pathology,LS,LS,M_C_LUA
LS/M_R_RLA.wav,Pathology,LS,LS,M_R_RLA
MIX/L0089.wav,Pathology,MIX,LS,L0089
MIX/H0017.wav,Pathology,MIX,HS,H0017
MIX/H0074.wav,Normal,MIX,HS,H0074
MIX/H0027.wav,Pathology,MIX,HS,H0027
MIX/L0005.wav,Pathology,MIX,LS,L0005
HS/M_MSM_LUSB.wav,Pathology,HS,HS,M_MSM_LUSB
MIX/L0032.wav,Pathology,MIX,LS,L0032
HS/M_ESM_LUSB.wav,Pathology,HS,HS,M_ESM_LUSB
MIX/L0038.wav,Normal,MIX,LS,L0038
MIX/L0121.wav,Pathology,MIX,LS,L0121
MIX/L0023.wav,Normal,MIX,LS,L0023
MIX/L0099.wav,Pathology,MIX,LS,L0099
MIX/H0080.wav,Pathology,MIX,HS,H0080
MIX/H0056.wav,Pathology,MIX,HS,H0056
MIX/L0037.wav,Normal,MIX,LS,L0037
MIX/L0109.wav,Pathology,MIX,LS,L0109
MIX/L0143.wav,Pathology,MIX,LS,L0143
MIX/L0021.wav,Pathology,MIX,LS,L0021
MIX/L0067.wav,Pathology,MIX,LS,L0067
MIX/H0122.wav,Normal,MIX,HS,H0122
MIX/L0010.wav,Pathology,MIX,LS,L0010
MIX/H0113.wav,Pathology,MIX,HS,H0113
MIX/H0049.wav,Pathology,MIX,HS,H0049
MIX/H0035.wav,Pathology,MIX,HS,H0035
MIX/L0029.wav,Pathology,MIX,LS,L0029
MIX/L0100.wav,Pathology,MIX,LS,L0100
HS/M_T_LUSB.wav,Pathology,HS,HS,M_T_LUSB
MIX/L0092.wav,Pathology,MIX,LS,L0092
MIX/H0026.wav,Pathology,MIX,HS,H0026
MIX/H0143.wav,Pathology,MIX,HS,H0143
MIX/H0065.wav,Pathology,MIX,HS,H0065
LS/M_W_LUA.wav,Pathology,LS,LS,M_W_LUA
MIX/L0006.wav,Pathology,MIX,LS,L0006
MIX/L0039.wav,Pathology,MIX,LS,L0039
MIX/L0034.wav,Pathology,MIX,LS,L0034
HS/M_LDM_LC.wav,Pathology,HS,HS,M_LDM_LC
MIX/H0091.wav,Pathology,MIX,HS,H0091
MIX/L0093.wav,Pathology,MIX,LS,L0093
HS/M_N_LC.wav,Normal,HS,HS,M_N_LC
MIX/L0075.wav,Pathology,MIX,LS,L0075
MIX/L0002.wav,Normal,MIX,LS,L0002
LS/M_N_RMA.wav,Normal,LS,LS,M_N_RMA
MIX/H0050.wav,Pathology,MIX,HS,H0050
MIX/H0067.wav,Pathology,MIX,HS,H0067
MIX/H0094.wav,Pathology,MIX,HS,H0094
MIX/H0117.wav,Pathology,MIX,HS,H0117
MIX/L0111.wav,Pathology,MIX,LS,L0111
MIX/L0133.wav,Pathology,MIX,LS,L0133
LS/M_W_RMA.wav,Pathology,LS,LS,M_W_RMA
MIX/H0047.wav,Pathology,MIX,HS,H0047
MIX/L0024.wav,Pathology,MIX,LS,L0024
MIX/H0061.wav,Pathology,MIX,HS,H0061
LS/M_R_LLA.wav,Pathology,LS,LS,M_R_LLA
LS/M_PR_LMA.wav,Pathology,LS,LS,M_PR_LMA
MIX/L0012.wav,Pathology,MIX,LS,L0012
LS/F_N_RUA.wav,Normal,LS,LS,F_N_RUA
MIX/L0022.wav,Pathology,MIX,LS,L0022
MIX/H0133.wav,Normal,MIX,HS,H0133
LS/M_PR_RLA.wav,Pathology,LS,LS,M_PR_RLA
MIX/H0062.wav,Pathology,MIX,HS,H0062
LS/M_PR_LLA.wav,Pathology,LS,LS,M_PR_LLA
HS/F_LDM_A.wav,Pathology,HS,HS,F_LDM_A
HS/M_AF_LC.wav,Pathology,HS,HS,M_AF_LC
MIX/H0023.wav,Pathology,MIX,HS,H0023
MIX/H0012.wav,Pathology,MIX,HS,H0012
LS/F_W_RUA.wav,Pathology,LS,LS,F_W_RUA
MIX/H0084.wav,Pathology,MIX,HS,H0084
MIX/L0055.wav,Pathology,MIX,LS,L0055
MIX/L0056.wav,Pathology,MIX,LS,L0056
MIX/L0113.wav,Pathology,MIX,LS,L0113
MIX/L0103.wav,Pathology,MIX,LS,L0103
MIX/L0013.wav,Pathology,MIX,LS,L0013
MIX/H0024.wav,Pathology,MIX,HS,H0024
MIX/L0064.wav,Pathology,MIX,LS,L0064
LS/M_W_RUA.wav,Pathology,LS,LS,M_W_RUA
MIX/H0131.wav,Pathology,MIX,HS,H0131
MIX/H0060.wav,Pathology,MIX,HS,H0060
MIX/L0115.wav,Pathology,MIX,LS,L0115
MIX/L0047.wav,Pathology,MIX,LS,L0047
MIX/H0076.wav,Pathology,MIX,HS,H0076
MIX/H0098.wav,Pathology,MIX,HS,H0098
MIX/L0042.wav,Pathology,MIX,LS,L0042
MIX/L0048.wav,Pathology,MIX,LS,L0048
MIX/L0088.wav,Pathology,MIX,LS,L0088
MIX/L0052.wav,Pathology,MIX,LS,L0052
MIX/H0088.wav,Pathology,MIX,HS,H0088
MIX/L0015.wav,Pathology,MIX,LS,L0015
HS/M_LSM_LUSB.wav,Pathology,HS,HS,M_LSM_LUSB
HS/F_LSM_LUSB.wav,Pathology,HS,HS,F_LSM_LUSB
MIX/H0082.wav,Pathology,MIX,HS,H0082
MIX/L0043.wav,Pathology,MIX,LS,L0043
MIX/H0109.wav,Pathology,MIX,HS,H0109
MIX/H0007.wav,Pathology,MIX,HS,H0007
MIX/L0040.wav,Pathology,MIX,LS,L0040
MIX/L0081.wav,Pathology,MIX,LS,L0081
MIX/H0132.wav,Pathology,MIX,HS,H0132
MIX/L0009.wav,Pathology,MIX,LS,L0009
MIX/H0130.wav,Pathology,MIX,HS,H0130
MIX/L0125.wav,Normal,MIX,LS,L0125
MIX/H0138.wav,Pathology,MIX,HS,H0138
MIX/L0136.wav,Pathology,MIX,LS,L0136
MIX/H0127.wav,Pathology,MIX,HS,H0127
MIX/H0033.wav,Pathology,MIX,HS,H0033
MIX/H0126.wav,Normal,MIX,HS,H0126
MIX/H0019.wav,Pathology,MIX,HS,H0019
MIX/H0028.wav,Pathology,MIX,HS,H0028
MIX/L0050.wav,Pathology,MIX,LS,L0050
MIX/L0049.wav,Pathology,MIX,LS,L0049
MIX/H0142.wav,Pathology,MIX,HS,H0142
HS/M_N_RUSB.wav,Normal,HS,HS,M_N_RUSB
MIX/H0053.wav,Pathology,MIX,HS,H0053
MIX/L0008.wav,Pathology,MIX,LS,L0008
MIX/H0134.wav,Pathology,MIX,HS,H0134
MIX/L0065.wav,Pathology,MIX,LS,L0065
HS/M_LDM_LLSB.wav,Pathology,HS,HS,M_LDM_LLSB
MIX/H0011.wav,Pathology,MIX,HS,H0011
MIX/H0100.wav,Pathology,MIX,HS,H0100
MIX/H0063.wav,Pathology,MIX,HS,H0063
MIX/H0068.wav,Pathology,MIX,HS,H0068
MIX/L0104.wav,Pathology,MIX,LS,L0104
MIX/L0118.wav,Pathology,MIX,LS,L0118
MIX/L0014.wav,Pathology,MIX,LS,L0014
LS/F_G_LMA.wav,Pathology,LS,LS,F_G_LMA
MIX/H0108.wav,Pathology,MIX,HS,H0108
HS/F_T_A.wav,Pathology,HS,HS,F_T_A
LS/F_G_LLA.wav,Pathology,LS,LS,F_G_LLA
MIX/H0112.wav,Pathology,MIX,HS,H0112
MIX/L0004.wav,Pathology,MIX,LS,L0004
MIX/H0118.wav,Pathology,MIX,HS,H0118
MIX/L0074.wav,Normal,MIX,LS,L0074
MIX/L0017.wav,Pathology,MIX,LS,L0017
MIX/H0043.wav,Pathology,MIX,HS,H0043
MIX/H0092.wav,Pathology,MIX,HS,H0092
HS/M_MSM_RUSB.wav,Pathology,HS,HS,M_MSM_RUSB
MIX/L0129.wav,Pathology,MIX,LS,L0129
LS/M_G_RLA.wav,Pathology,LS,LS,M_G_RLA
MIX/H0097.wav,Pathology,MIX,HS,H0097
LS/F_N_LLA.wav,Normal,LS,LS,F_N_LLA
MIX/H0072.wav,Pathology,MIX,HS,H0072
MIX/H0044.wav,Normal,MIX,HS,H0044
LS/M_R_RUA.wav,Pathology,LS,LS,M_R_RUA
MIX/L0030.wav,Pathology,MIX,LS,L0030
HS/M_LSM_RUSB.wav,Pathology,HS,HS,M_LSM_RUSB
HS/M_AVB_A.wav,Pathology,HS,HS,M_AVB_A
HS/F_T_RC.wav,Pathology,HS,HS,F_T_RC
MIX/H0036.wav,Pathology,MIX,HS,H0036
MIX/H0022.wav,Pathology,MIX,HS,H0022
MIX/H0106.wav,Normal,MIX,HS,H0106
MIX/L0119.wav,Pathology,MIX,LS,L0119
MIX/L0061.wav,Pathology,MIX,LS,L0061
LS/M_W_LMA.wav,Pathology,LS,LS,M_W_LMA
LS/F_N_LUA.wav,Normal,LS,LS,F_N_LUA
MIX/H0071.wav,Pathology,MIX,HS,H0071
MIX/H0096.wav,Normal,MIX,HS,H0096
MIX/H0099.wav,Pathology,MIX,HS,H0099
MIX/H0040.wav,Pathology,MIX,HS,H0040
HS/F_MSM_LLSB.wav,Pathology,HS,HS,F_MSM_LLSB
MIX/H0102.wav,Pathology,MIX,HS,H0102
MIX/H0054.wav,Pathology,MIX,HS,H0054
MIX/H0078.wav,Pathology,MIX,HS,H0078
MIX/L0112.wav,Pathology,MIX,LS,L0112
HS/F_N_LLSB.wav,Normal,HS,HS,F_N_LLSB
